frozenset(['paralog15', 'paralog10'])	[(1, 1.0)]
frozenset(['paralog07', 'paralog08'])	[(1, 0.9847991313789359), (2, 0.01520086862106406)]
frozenset(['paralog05', 'paralog02'])	[(1, 0.981226533166458), (2, 0.01877346683354193)]
frozenset(['paralog04', 'paralog03'])	[(1, 0.777), (2, 0.223)]
frozenset(['paralog03', 'paralog11'])	[(2, 0.789), (1, 0.211)]
frozenset(['paralog04', 'paralog11'])	[(2, 0.988), (1, 0.012)]
frozenset(['paralog06', 'paralog01'])	[(2, 1.0)]
frozenset(['paralog13', 'paralog08'])	[(2, 0.9793702497285559), (3, 0.011943539630836048), (1, 0.008686210640608035)]
frozenset(['paralog07', 'paralog13'])	[(2, 0.9815418023887079), (3, 0.011943539630836048), (1, 0.006514657980456026)]
frozenset(['paralog12', 'paralog13'])	[(2, 0.958958958958959), (3, 0.026026026026026026), (4, 0.009009009009009009), (1, 0.003003003003003003), (5, 0.003003003003003003)]
frozenset(['paralog14', 'paralog09'])	[(3, 0.7217217217217218), (2, 0.16316316316316315), (4, 0.09509509509509509), (1, 0.018018018018018018), (5, 0.002002002002002002)]
frozenset(['paralog07', 'paralog12'])	[(3, 0.9641693811074918), (2, 0.014115092290988056), (4, 0.013029315960912053), (5, 0.00760043431053203), (6, 0.0010857763300760044)]
frozenset(['paralog12', 'paralog08'])	[(3, 0.9620390455531453), (2, 0.015184381778741865), (4, 0.013015184381778741), (5, 0.008676789587852495), (6, 0.0010845986984815619)]
frozenset(['paralog15', 'paralog09'])	[(3, 0.936), (4, 0.053), (2, 0.006), (5, 0.005)]
frozenset(['paralog09', 'paralog10'])	[(3, 0.936), (4, 0.053), (2, 0.006), (5, 0.005)]
frozenset(['paralog06', 'paralog10'])	[(3, 0.9554404145077721), (4, 0.027979274611398965), (5, 0.014507772020725389), (6, 0.002072538860103627)]
frozenset(['paralog15', 'paralog06'])	[(3, 0.9554404145077721), (4, 0.027979274611398965), (5, 0.014507772020725389), (6, 0.002072538860103627)]
frozenset(['paralog06', 'paralog09'])	[(3, 0.9243523316062177), (4, 0.06321243523316063), (5, 0.008290155440414507), (2, 0.004145077720207254)]
frozenset(['paralog14', 'paralog11'])	[(3, 0.4904904904904905), (2, 0.22822822822822822), (4, 0.2132132132132132), (5, 0.04704704704704705), (6, 0.018018018018018018), (7, 0.003003003003003003)]
frozenset(['paralog14', 'paralog12'])	[(3, 0.6806806806806807), (4, 0.25425425425425424), (2, 0.03003003003003003), (5, 0.028028028028028028), (6, 0.007007007007007007)]
frozenset(['paralog12', 'paralog09'])	[(3, 0.596), (4, 0.373), (5, 0.02), (2, 0.008), (6, 0.003)]
frozenset(['paralog05', 'paralog14'])	[(3, 0.543859649122807), (4, 0.37468671679197996), (5, 0.04887218045112782), (6, 0.03258145363408521)]
frozenset(['paralog14', 'paralog02'])	[(3, 0.5325814536340853), (4, 0.38220551378446116), (5, 0.05012531328320802), (6, 0.03383458646616541), (7, 0.0012531328320802004)]
frozenset(['paralog04', 'paralog14'])	[(4, 0.47347347347347346), (3, 0.34434434434434436), (5, 0.1091091091091091), (2, 0.05205205205205205), (6, 0.013013013013013013), (7, 0.008008008008008008)]
frozenset(['paralog05', 'paralog11'])	[(3, 0.5025062656641605), (4, 0.21052631578947367), (5, 0.19548872180451127), (6, 0.06892230576441102), (7, 0.018796992481203006), (8, 0.0037593984962406013)]
frozenset(['paralog14', 'paralog03'])	[(4, 0.5525525525525525), (3, 0.2852852852852853), (5, 0.12812812812812813), (6, 0.02002002002002002), (7, 0.011011011011011011), (2, 0.003003003003003003)]
frozenset(['paralog11', 'paralog02'])	[(3, 0.4899749373433584), (4, 0.22055137844611528), (5, 0.19548872180451127), (6, 0.07142857142857142), (7, 0.017543859649122806), (8, 0.005012531328320802)]
