frozenset(['paralog15', 'paralog10'])	[(1, 1.0)]
frozenset(['paralog01', 'paralog10'])	[(4, 0.9554404145077721), (5, 0.027979274611398965), (6, 0.014507772020725389), (7, 0.002072538860103627)]
frozenset(['paralog15', 'paralog01'])	[(4, 0.9554404145077721), (5, 0.027979274611398965), (6, 0.014507772020725389), (7, 0.002072538860103627)]
frozenset(['paralog09', 'paralog01'])	[(4, 0.9243523316062177), (5, 0.06321243523316063), (6, 0.008290155440414507), (3, 0.004145077720207254)]
frozenset(['paralog14', 'paralog13'])	[(4, 0.6763527054108216), (5, 0.2605210420841683), (6, 0.031062124248496994), (3, 0.026052104208416832), (7, 0.006012024048096192)]
frozenset(['paralog05', 'paralog12'])	[(5, 0.5006257822277848), (4, 0.25156445556946183), (3, 0.20400500625782228), (6, 0.03629536921151439), (7, 0.006257822277847309), (2, 0.0012515644555694619)]
frozenset(['paralog12', 'paralog02'])	[(5, 0.49687108886107634), (4, 0.24780976220275344), (3, 0.20150187734668334), (6, 0.04630788485607009), (7, 0.006257822277847309), (2, 0.0012515644555694619)]
frozenset(['paralog09', 'paralog13'])	[(4, 0.5825825825825826), (5, 0.3813813813813814), (6, 0.024024024024024024), (3, 0.012012012012012012)]
frozenset(['paralog05', 'paralog04'])	[(4, 0.5200501253132832), (6, 0.19172932330827067), (3, 0.15789473684210525), (5, 0.08771929824561403), (7, 0.02756892230576441), (8, 0.015037593984962405)]
frozenset(['paralog04', 'paralog02'])	[(4, 0.5075187969924813), (6, 0.19047619047619047), (3, 0.15789473684210525), (5, 0.09774436090225563), (7, 0.03132832080200501), (8, 0.015037593984962405)]
frozenset(['paralog05', 'paralog09'])	[(5, 0.6357947434292867), (4, 0.2903629536921151), (3, 0.056320400500625784), (6, 0.017521902377972465)]
frozenset(['paralog09', 'paralog02'])	[(5, 0.6295369211514393), (4, 0.28660826032540676), (3, 0.05506883604505632), (6, 0.02753441802252816), (7, 0.0012515644555694619)]
frozenset(['paralog05', 'paralog03'])	[(4, 0.6616541353383458), (6, 0.22807017543859648), (5, 0.05513784461152882), (7, 0.02756892230576441), (8, 0.018796992481203006), (3, 0.008771929824561403)]
frozenset(['paralog03', 'paralog02'])	[(4, 0.6491228070175439), (6, 0.22807017543859648), (5, 0.06516290726817042), (7, 0.02882205513784461), (8, 0.020050125313283207), (3, 0.008771929824561403)]
frozenset(['paralog14', 'paralog15'])	[(5, 0.7407407407407407), (4, 0.14214214214214213), (6, 0.0960960960960961), (2, 0.012012012012012012), (3, 0.008008008008008008), (7, 0.001001001001001001)]
frozenset(['paralog14', 'paralog10'])	[(5, 0.7407407407407407), (4, 0.14214214214214213), (6, 0.0960960960960961), (2, 0.012012012012012012), (3, 0.008008008008008008), (7, 0.001001001001001001)]
frozenset(['paralog14', 'paralog06'])	[(5, 0.7427385892116183), (4, 0.14522821576763487), (6, 0.1037344398340249), (3, 0.007261410788381743), (7, 0.001037344398340249)]
frozenset(['paralog09', 'paralog11'])	[(5, 0.6006006006006006), (4, 0.1931931931931932), (6, 0.18118118118118118), (3, 0.01701701701701702), (7, 0.007007007007007007), (8, 0.001001001001001001)]
frozenset(['paralog12', 'paralog11'])	[(5, 0.6416416416416416), (6, 0.19119119119119118), (4, 0.14514514514514515), (7, 0.013013013013013013), (3, 0.007007007007007007), (2, 0.001001001001001001), (8, 0.001001001001001001)]
frozenset(['paralog07', 'paralog14'])	[(5, 0.6782608695652174), (6, 0.26413043478260867), (4, 0.030434782608695653), (7, 0.021739130434782608), (8, 0.005434782608695652)]
frozenset(['paralog14', 'paralog08'])	[(5, 0.6829533116178067), (6, 0.26275787187839306), (4, 0.02714440825190011), (7, 0.021715526601520086), (8, 0.0054288816503800215)]
frozenset(['paralog06', 'paralog12'])	[(5, 0.5865284974093264), (6, 0.34922279792746114), (4, 0.046632124352331605), (7, 0.012435233160621761), (3, 0.004145077720207254), (8, 0.0010362694300518134)]
frozenset(['paralog15', 'paralog12'])	[(5, 0.605), (6, 0.346), (4, 0.034), (7, 0.014), (8, 0.001)]
frozenset(['paralog12', 'paralog10'])	[(5, 0.605), (6, 0.346), (4, 0.034), (7, 0.014), (8, 0.001)]
frozenset(['paralog05', 'paralog13'])	[(6, 0.4949874686716792), (5, 0.24185463659147868), (4, 0.20175438596491227), (7, 0.03884711779448621), (3, 0.015037593984962405), (8, 0.006265664160401002), (2, 0.0012531328320802004)]
frozenset(['paralog13', 'paralog02'])	[(6, 0.49122807017543857), (5, 0.23684210526315788), (4, 0.20175438596491227), (7, 0.04887218045112782), (3, 0.013784461152882205), (8, 0.006265664160401002), (2, 0.0012531328320802004)]
frozenset(['paralog07', 'paralog09'])	[(5, 0.5982627578718784), (6, 0.3724212812160695), (7, 0.01737242128121607), (4, 0.010857763300760043), (3, 0.0010857763300760044)]
frozenset(['paralog09', 'paralog08'])	[(5, 0.5954446854663774), (6, 0.37418655097613884), (7, 0.01735357917570499), (4, 0.013015184381778741)]
frozenset(['paralog04', 'paralog09'])	[(6, 0.5715715715715716), (5, 0.35735735735735735), (4, 0.05905905905905906), (7, 0.012012012012012012)]
frozenset(['paralog04', 'paralog12'])	[(6, 0.5965965965965966), (5, 0.29429429429429427), (4, 0.05905905905905906), (7, 0.036036036036036036), (8, 0.009009009009009009), (2, 0.003003003003003003), (3, 0.002002002002002002)]
frozenset(['paralog09', 'paralog03'])	[(6, 0.7167167167167167), (5, 0.24424424424424424), (4, 0.02002002002002002), (7, 0.018018018018018018), (8, 0.001001001001001001)]
frozenset(['paralog12', 'paralog03'])	[(6, 0.7307307307307307), (5, 0.2082082082082082), (7, 0.03903903903903904), (8, 0.01001001001001001), (4, 0.008008008008008008), (3, 0.004004004004004004)]
frozenset(['paralog14', 'paralog01'])	[(6, 0.7427385892116183), (5, 0.14522821576763487), (7, 0.1037344398340249), (4, 0.007261410788381743), (8, 0.001037344398340249)]
frozenset(['paralog13', 'paralog11'])	[(6, 0.6432865731462926), (7, 0.19739478957915832), (5, 0.14228456913827656), (8, 0.013026052104208416), (4, 0.003006012024048096), (9, 0.001002004008016032)]
frozenset(['paralog12', 'paralog01'])	[(6, 0.5865284974093264), (7, 0.34922279792746114), (5, 0.046632124352331605), (8, 0.012435233160621761), (4, 0.004145077720207254), (9, 0.0010362694300518134)]
frozenset(['paralog06', 'paralog13'])	[(6, 0.5715767634854771), (7, 0.3578838174273859), (5, 0.052904564315352696), (8, 0.013485477178423237), (4, 0.004149377593360996)]
frozenset(['paralog13', 'paralog10'])	[(6, 0.5915915915915916), (7, 0.3563563563563564), (5, 0.03803803803803804), (8, 0.014014014014014014)]
frozenset(['paralog15', 'paralog13'])	[(6, 0.5915915915915916), (7, 0.3563563563563564), (5, 0.03803803803803804), (8, 0.014014014014014014)]
frozenset(['paralog05', 'paralog08'])	[(7, 0.5006747638326585), (6, 0.23616734143049933), (5, 0.203778677462888), (8, 0.03508771929824561), (4, 0.017543859649122806), (9, 0.006747638326585695)]
frozenset(['paralog05', 'paralog07'])	[(7, 0.49864864864864866), (6, 0.2391891891891892), (5, 0.20675675675675675), (8, 0.03513513513513514), (4, 0.012162162162162163), (9, 0.006756756756756757), (3, 0.0013513513513513514)]
frozenset(['paralog08', 'paralog02'])	[(7, 0.49527665317139), (6, 0.2321187584345479), (5, 0.203778677462888), (8, 0.04588394062078273), (4, 0.016194331983805668), (9, 0.006747638326585695)]
frozenset(['paralog07', 'paralog02'])	[(7, 0.49324324324324326), (6, 0.23513513513513515), (5, 0.20675675675675675), (8, 0.04594594594594595), (4, 0.010810810810810811), (9, 0.006756756756756757), (3, 0.0013513513513513514)]
frozenset(['paralog06', 'paralog02'])	[(7, 0.6264591439688716), (6, 0.26329442282749677), (5, 0.07522697795071336), (3, 0.01556420233463035), (4, 0.011673151750972763), (8, 0.007782101167315175)]
frozenset(['paralog05', 'paralog06'])	[(7, 0.6264591439688716), (6, 0.26329442282749677), (5, 0.07522697795071336), (3, 0.01556420233463035), (4, 0.011673151750972763), (8, 0.007782101167315175)]
frozenset(['paralog05', 'paralog10'])	[(7, 0.6332916145181476), (6, 0.2715894868585732), (5, 0.07008760951188986), (4, 0.017521902377972465), (8, 0.007509386733416771)]
frozenset(['paralog05', 'paralog15'])	[(7, 0.6332916145181476), (6, 0.2715894868585732), (5, 0.07008760951188986), (4, 0.017521902377972465), (8, 0.007509386733416771)]
frozenset(['paralog15', 'paralog02'])	[(7, 0.6307884856070087), (6, 0.26533166458072593), (5, 0.0688360450563204), (8, 0.017521902377972465), (4, 0.017521902377972465)]
frozenset(['paralog10', 'paralog02'])	[(7, 0.6307884856070087), (6, 0.26533166458072593), (5, 0.0688360450563204), (8, 0.017521902377972465), (4, 0.017521902377972465)]
frozenset(['paralog04', 'paralog13'])	[(7, 0.5991983967935872), (6, 0.2935871743486974), (5, 0.05711422845691383), (8, 0.03907815631262525), (9, 0.009018036072144289), (4, 0.002004008016032064)]
frozenset(['paralog13', 'paralog03'])	[(7, 0.7364729458917836), (6, 0.20340681362725452), (8, 0.04208416833667335), (9, 0.01002004008016032), (5, 0.008016032064128256)]
frozenset(['paralog10', 'paralog11'])	[(7, 0.6216216216216216), (6, 0.1871871871871872), (8, 0.17417417417417416), (5, 0.01001001001001001), (9, 0.004004004004004004), (4, 0.002002002002002002), (3, 0.001001001001001001)]
frozenset(['paralog15', 'paralog11'])	[(7, 0.6216216216216216), (6, 0.1871871871871872), (8, 0.17417417417417416), (5, 0.01001001001001001), (9, 0.004004004004004004), (4, 0.002002002002002002), (3, 0.001001001001001001)]
frozenset(['paralog06', 'paralog11'])	[(7, 0.6172199170124482), (6, 0.18568464730290457), (8, 0.18153526970954356), (5, 0.011410788381742738), (9, 0.0031120331950207467), (4, 0.001037344398340249)]
frozenset(['paralog07', 'paralog11'])	[(7, 0.6510869565217391), (8, 0.18695652173913044), (6, 0.14130434782608695), (9, 0.013043478260869565), (5, 0.006521739130434782), (10, 0.0010869565217391304)]
frozenset(['paralog08', 'paralog11'])	[(7, 0.6482084690553745), (8, 0.18783930510314875), (6, 0.1454940282301846), (9, 0.013029315960912053), (5, 0.004343105320304018), (10, 0.0010857763300760044)]
frozenset(['paralog07', 'paralog06'])	[(7, 0.5853932584269663), (8, 0.3449438202247191), (6, 0.051685393258426963), (9, 0.011235955056179775), (5, 0.006741573033707865)]
frozenset(['paralog06', 'paralog08'])	[(7, 0.590347923681257), (8, 0.34231200897867564), (6, 0.050505050505050504), (9, 0.01122334455667789), (5, 0.005611672278338945)]
frozenset(['paralog07', 'paralog15'])	[(7, 0.6026058631921825), (8, 0.34310532030401736), (6, 0.04234527687296417), (9, 0.010857763300760043), (5, 0.0010857763300760044)]
frozenset(['paralog07', 'paralog10'])	[(7, 0.6026058631921825), (8, 0.34310532030401736), (6, 0.04234527687296417), (9, 0.010857763300760043), (5, 0.0010857763300760044)]
frozenset(['paralog08', 'paralog10'])	[(7, 0.6084598698481561), (8, 0.3405639913232104), (6, 0.04013015184381779), (9, 0.010845986984815618)]
frozenset(['paralog15', 'paralog08'])	[(7, 0.6084598698481561), (8, 0.3405639913232104), (6, 0.04013015184381779), (9, 0.010845986984815618)]
frozenset(['paralog01', 'paralog13'])	[(7, 0.5715767634854771), (8, 0.3578838174273859), (6, 0.052904564315352696), (9, 0.013485477178423237), (5, 0.004149377593360996)]
frozenset(['paralog01', 'paralog02'])	[(8, 0.6264591439688716), (7, 0.26329442282749677), (6, 0.07522697795071336), (4, 0.01556420233463035), (5, 0.011673151750972763), (9, 0.007782101167315175)]
frozenset(['paralog05', 'paralog01'])	[(8, 0.6264591439688716), (7, 0.26329442282749677), (6, 0.07522697795071336), (4, 0.01556420233463035), (5, 0.011673151750972763), (9, 0.007782101167315175)]
frozenset(['paralog04', 'paralog10'])	[(8, 0.5835835835835835), (7, 0.34934934934934936), (6, 0.05805805805805806), (9, 0.006006006006006006), (5, 0.002002002002002002), (4, 0.001001001001001001)]
frozenset(['paralog04', 'paralog15'])	[(8, 0.5835835835835835), (7, 0.34934934934934936), (6, 0.05805805805805806), (9, 0.006006006006006006), (5, 0.002002002002002002), (4, 0.001001001001001001)]
frozenset(['paralog04', 'paralog06'])	[(8, 0.5819502074688797), (7, 0.3537344398340249), (6, 0.054979253112033194), (9, 0.006224066390041493), (5, 0.0031120331950207467)]
frozenset(['paralog04', 'paralog07'])	[(8, 0.6097826086956522), (7, 0.28695652173913044), (6, 0.059782608695652176), (9, 0.030434782608695653), (10, 0.009782608695652175), (5, 0.003260869565217391)]
frozenset(['paralog04', 'paralog08'])	[(8, 0.6069489685124865), (7, 0.2931596091205212), (6, 0.05754614549402823), (9, 0.03040173724212812), (10, 0.009771986970684038), (5, 0.002171552660152009)]
frozenset(['paralog15', 'paralog03'])	[(8, 0.7297297297297297), (7, 0.24424424424424424), (6, 0.013013013013013013), (9, 0.01001001001001001), (5, 0.002002002002002002), (4, 0.001001001001001001)]
frozenset(['paralog10', 'paralog03'])	[(8, 0.7297297297297297), (7, 0.24424424424424424), (6, 0.013013013013013013), (9, 0.01001001001001001), (5, 0.002002002002002002), (4, 0.001001001001001001)]
frozenset(['paralog06', 'paralog03'])	[(8, 0.7375518672199171), (7, 0.2354771784232365), (6, 0.016597510373443983), (9, 0.00933609958506224), (5, 0.001037344398340249)]
frozenset(['paralog07', 'paralog03'])	[(8, 0.7445652173913043), (7, 0.20108695652173914), (9, 0.03260869565217391), (10, 0.010869565217391304), (6, 0.010869565217391304)]
frozenset(['paralog08', 'paralog03'])	[(8, 0.742671009771987), (7, 0.20629750271444083), (9, 0.03257328990228013), (10, 0.010857763300760043), (6, 0.00760043431053203)]
frozenset(['paralog01', 'paralog11'])	[(8, 0.6172199170124482), (7, 0.18568464730290457), (9, 0.18153526970954356), (6, 0.011410788381742738), (10, 0.0031120331950207467), (5, 0.001037344398340249)]
frozenset(['paralog07', 'paralog01'])	[(8, 0.5853932584269663), (9, 0.3449438202247191), (7, 0.051685393258426963), (10, 0.011235955056179775), (6, 0.006741573033707865)]
frozenset(['paralog01', 'paralog08'])	[(8, 0.590347923681257), (9, 0.34231200897867564), (7, 0.050505050505050504), (10, 0.01122334455667789), (6, 0.005611672278338945)]
frozenset(['paralog04', 'paralog01'])	[(9, 0.5819502074688797), (8, 0.3537344398340249), (7, 0.054979253112033194), (10, 0.006224066390041493), (6, 0.0031120331950207467)]
frozenset(['paralog01', 'paralog03'])	[(9, 0.7375518672199171), (8, 0.2354771784232365), (7, 0.016597510373443983), (10, 0.00933609958506224), (6, 0.001037344398340249)]
