frozenset(['paralog06', 'paralog10'])	[(1, 1.0)]
frozenset(['paralog01', 'paralog03'])	[(5, 0.8828828828828829), (6, 0.10510510510510511), (4, 0.009009009009009009), (7, 0.002002002002002002), (8, 0.001001001001001001)]
frozenset(['paralog04', 'paralog09'])	[(5, 0.6337402885682575), (6, 0.22086570477247502), (4, 0.11320754716981132), (7, 0.029966703662597113), (8, 0.0022197558268590455)]
frozenset(['paralog07', 'paralog09'])	[(5, 0.6333333333333333), (6, 0.22111111111111112), (4, 0.11333333333333333), (7, 0.03), (8, 0.0022222222222222222)]
frozenset(['paralog01', 'paralog08'])	[(5, 0.5715715715715716), (6, 0.2902902902902903), (4, 0.12012012012012012), (7, 0.016016016016016016), (3, 0.002002002002002002)]
frozenset(['paralog01', 'paralog12'])	[(5, 0.6256256256256256), (6, 0.32932932932932935), (7, 0.024024024024024024), (4, 0.021021021021021023)]
frozenset(['paralog08', 'paralog02'])	[(6, 0.503), (5, 0.413), (4, 0.08), (3, 0.003), (2, 0.001)]
frozenset(['paralog10', 'paralog11'])	[(5, 0.6326326326326326), (6, 0.30930930930930933), (7, 0.05205205205205205), (8, 0.003003003003003003), (4, 0.002002002002002002), (9, 0.001001001001001001)]
frozenset(['paralog05', 'paralog06'])	[(5, 0.6326326326326326), (6, 0.30930930930930933), (7, 0.05205205205205205), (8, 0.003003003003003003), (4, 0.002002002002002002), (9, 0.001001001001001001)]
frozenset(['paralog05', 'paralog10'])	[(5, 0.6326326326326326), (6, 0.30930930930930933), (7, 0.05205205205205205), (8, 0.003003003003003003), (4, 0.002002002002002002), (9, 0.001001001001001001)]
frozenset(['paralog06', 'paralog11'])	[(5, 0.6326326326326326), (6, 0.30930930930930933), (7, 0.05205205205205205), (8, 0.003003003003003003), (4, 0.002002002002002002), (9, 0.001001001001001001)]
frozenset(['paralog12', 'paralog02'])	[(6, 0.606), (5, 0.36), (4, 0.029), (2, 0.003), (3, 0.002)]
frozenset(['paralog04', 'paralog03'])	[(6, 0.6281908990011099), (5, 0.3129855715871254), (4, 0.049944506104328525), (7, 0.00776914539400666), (3, 0.0011098779134295228)]
frozenset(['paralog07', 'paralog03'])	[(6, 0.63), (5, 0.31222222222222223), (4, 0.04888888888888889), (7, 0.0077777777777777776), (3, 0.0011111111111111111)]
frozenset(['paralog08', 'paralog10'])	[(6, 0.754), (5, 0.198), (7, 0.036), (4, 0.012)]
frozenset(['paralog06', 'paralog08'])	[(6, 0.754), (5, 0.198), (7, 0.036), (4, 0.012)]
frozenset(['paralog15', 'paralog01'])	[(6, 0.45045045045045046), (5, 0.37237237237237236), (7, 0.15215215215215216), (8, 0.01901901901901902), (9, 0.004004004004004004), (4, 0.002002002002002002)]
frozenset(['paralog06', 'paralog12'])	[(6, 0.872), (5, 0.071), (7, 0.052), (4, 0.004), (3, 0.001)]
frozenset(['paralog12', 'paralog10'])	[(6, 0.872), (5, 0.071), (7, 0.052), (4, 0.004), (3, 0.001)]
frozenset(['paralog15', 'paralog02'])	[(6, 0.488), (7, 0.255), (5, 0.217), (4, 0.022), (8, 0.017), (9, 0.001)]
frozenset(['paralog01', 'paralog11'])	[(6, 0.8827655310621243), (7, 0.10521042084168336), (5, 0.009018036072144289), (8, 0.002004008016032064), (9, 0.001002004008016032)]
frozenset(['paralog05', 'paralog01'])	[(6, 0.8827655310621243), (7, 0.10521042084168336), (5, 0.009018036072144289), (8, 0.002004008016032064), (9, 0.001002004008016032)]
frozenset(['paralog04', 'paralog14'])	[(6, 0.6566666666666666), (7, 0.1988888888888889), (5, 0.10444444444444445), (8, 0.03333333333333333), (4, 0.0044444444444444444), (9, 0.0022222222222222222)]
frozenset(['paralog14', 'paralog07'])	[(6, 0.6562847608453838), (7, 0.19911012235817574), (5, 0.10456062291434928), (8, 0.03337041156840934), (4, 0.004449388209121246), (9, 0.002224694104560623)]
frozenset(['paralog04', 'paralog13'])	[(6, 0.6577777777777778), (7, 0.2), (5, 0.10666666666666667), (8, 0.03333333333333333), (9, 0.0022222222222222222)]
frozenset(['paralog07', 'paralog13'])	[(6, 0.657397107897664), (7, 0.20022246941045607), (5, 0.1067853170189099), (8, 0.03337041156840934), (9, 0.002224694104560623)]
frozenset(['paralog08', 'paralog03'])	[(7, 0.48), (6, 0.39), (5, 0.084), (4, 0.03), (3, 0.016)]
frozenset(['paralog01', 'paralog09'])	[(6, 0.4824824824824825), (7, 0.35735735735735735), (5, 0.08508508508508508), (8, 0.06706706706706707), (9, 0.006006006006006006), (4, 0.002002002002002002)]
frozenset(['paralog15', 'paralog10'])	[(6, 0.543), (7, 0.365), (8, 0.046), (5, 0.04), (9, 0.006)]
frozenset(['paralog06', 'paralog15'])	[(6, 0.543), (7, 0.365), (8, 0.046), (5, 0.04), (9, 0.006)]
frozenset(['paralog12', 'paralog03'])	[(7, 0.575), (6, 0.337), (5, 0.043), (4, 0.04), (3, 0.004), (2, 0.001)]
frozenset(['paralog05', 'paralog04'])	[(7, 0.6277777777777778), (6, 0.31333333333333335), (5, 0.05), (8, 0.0077777777777777776), (4, 0.0011111111111111111)]
frozenset(['paralog04', 'paralog11'])	[(7, 0.6277777777777778), (6, 0.31333333333333335), (5, 0.05), (8, 0.0077777777777777776), (4, 0.0011111111111111111)]
frozenset(['paralog05', 'paralog07'])	[(7, 0.6295884315906563), (6, 0.3125695216907675), (5, 0.048943270300333706), (8, 0.00778642936596218), (4, 0.0011123470522803114)]
frozenset(['paralog07', 'paralog11'])	[(7, 0.6295884315906563), (6, 0.3125695216907675), (5, 0.048943270300333706), (8, 0.00778642936596218), (4, 0.0011123470522803114)]
frozenset(['paralog09', 'paralog02'])	[(7, 0.478), (6, 0.338), (8, 0.113), (5, 0.066), (4, 0.003), (3, 0.002)]
frozenset(['paralog15', 'paralog03'])	[(7, 0.461), (8, 0.238), (6, 0.221), (5, 0.044), (4, 0.019), (9, 0.016), (10, 0.001)]
frozenset(['paralog06', 'paralog09'])	[(7, 0.639), (8, 0.182), (6, 0.156), (9, 0.013), (5, 0.008), (4, 0.002)]
frozenset(['paralog09', 'paralog10'])	[(7, 0.639), (8, 0.182), (6, 0.156), (9, 0.013), (5, 0.008), (4, 0.002)]
frozenset(['paralog05', 'paralog08'])	[(8, 0.4794794794794795), (7, 0.39039039039039036), (6, 0.08408408408408409), (5, 0.03003003003003003), (4, 0.016016016016016016)]
frozenset(['paralog08', 'paralog11'])	[(8, 0.4794794794794795), (7, 0.39039039039039036), (6, 0.08408408408408409), (5, 0.03003003003003003), (4, 0.016016016016016016)]
frozenset(['paralog14', 'paralog01'])	[(7, 0.4909819639278557), (8, 0.35470941883767537), (6, 0.07615230460921844), (9, 0.06613226452905811), (5, 0.008016032064128256), (10, 0.004008016032064128)]
frozenset(['paralog01', 'paralog13'])	[(7, 0.49298597194388777), (8, 0.3557114228456914), (6, 0.07615230460921844), (9, 0.06613226452905811), (5, 0.00501002004008016), (10, 0.004008016032064128)]
frozenset(['paralog05', 'paralog12'])	[(8, 0.5745745745745746), (7, 0.33733733733733734), (6, 0.043043043043043044), (5, 0.04004004004004004), (4, 0.004004004004004004), (3, 0.001001001001001001)]
frozenset(['paralog12', 'paralog11'])	[(8, 0.5745745745745746), (7, 0.33733733733733734), (6, 0.043043043043043044), (5, 0.04004004004004004), (4, 0.004004004004004004), (3, 0.001001001001001001)]
frozenset(['paralog09', 'paralog03'])	[(8, 0.451), (7, 0.324), (9, 0.106), (6, 0.084), (5, 0.028), (4, 0.007)]
frozenset(['paralog14', 'paralog02'])	[(8, 0.48848848848848847), (7, 0.3283283283283283), (9, 0.1041041041041041), (6, 0.07307307307307308), (5, 0.006006006006006006)]
frozenset(['paralog13', 'paralog02'])	[(8, 0.4894894894894895), (7, 0.32932932932932935), (9, 0.10510510510510511), (6, 0.07107107107107107), (5, 0.005005005005005005)]
frozenset(['paralog05', 'paralog15'])	[(8, 0.46046046046046046), (9, 0.23823823823823823), (7, 0.22122122122122123), (6, 0.044044044044044044), (5, 0.01901901901901902), (10, 0.016016016016016016), (11, 0.001001001001001001)]
