frozenset(['paralog09', 'paralog10'])	[(1, 1.0)]
frozenset(['paralog01', 'paralog11'])	[(4, 0.865546218487395), (5, 0.12815126050420167), (3, 0.0031512605042016808), (7, 0.0021008403361344537), (6, 0.0010504201680672268)]
frozenset(['paralog01', 'paralog02'])	[(4, 0.8644957983193278), (5, 0.13025210084033614), (6, 0.0031512605042016808), (7, 0.0021008403361344537)]
frozenset(['paralog01', 'paralog03'])	[(4, 0.8644957983193278), (5, 0.13025210084033614), (6, 0.0031512605042016808), (7, 0.0021008403361344537)]
frozenset(['paralog05', 'paralog04'])	[(4, 0.6211498973305954), (5, 0.2874743326488706), (3, 0.04004106776180698), (6, 0.03696098562628337), (2, 0.013347022587268994), (7, 0.001026694045174538)]
frozenset(['paralog07', 'paralog09'])	[(5, 0.5335397316821465), (3, 0.24871001031991744), (4, 0.20123839009287925), (6, 0.010319917440660475), (2, 0.0030959752321981426), (7, 0.0030959752321981426)]
frozenset(['paralog07', 'paralog10'])	[(5, 0.5335397316821465), (3, 0.24871001031991744), (4, 0.20123839009287925), (6, 0.010319917440660475), (2, 0.0030959752321981426), (7, 0.0030959752321981426)]
frozenset(['paralog05', 'paralog13'])	[(4, 0.6242299794661191), (5, 0.2915811088295688), (6, 0.039014373716632446), (3, 0.03182751540041068), (2, 0.012320328542094456), (7, 0.001026694045174538)]
frozenset(['paralog15', 'paralog13'])	[(4, 0.6857429718875502), (5, 0.2359437751004016), (6, 0.045180722891566265), (3, 0.024096385542168676), (7, 0.007028112449799197), (2, 0.002008032128514056)]
frozenset(['paralog04', 'paralog15'])	[(4, 0.6917670682730924), (5, 0.23694779116465864), (6, 0.04618473895582329), (3, 0.01606425702811245), (7, 0.008032128514056224), (2, 0.001004016064257028)]
frozenset(['paralog05', 'paralog09'])	[(4, 0.6054852320675106), (5, 0.26476793248945146), (6, 0.09177215189873418), (3, 0.029535864978902954), (7, 0.008438818565400843)]
frozenset(['paralog05', 'paralog10'])	[(4, 0.6054852320675106), (5, 0.26476793248945146), (6, 0.09177215189873418), (3, 0.029535864978902954), (7, 0.008438818565400843)]
frozenset(['paralog05', 'paralog07'])	[(4, 0.5071574642126789), (5, 0.39570552147239263), (6, 0.05521472392638037), (3, 0.032719836400818), (2, 0.00408997955010225), (1, 0.003067484662576687), (7, 0.002044989775051125)]
frozenset(['paralog01', 'paralog08'])	[(5, 0.5535714285714286), (4, 0.41596638655462187), (6, 0.023109243697478993), (3, 0.0063025210084033615), (7, 0.0010504201680672268)]
frozenset(['paralog04', 'paralog10'])	[(5, 0.6145077720207254), (4, 0.3233160621761658), (6, 0.054922279792746116), (7, 0.004145077720207254), (3, 0.0031088082901554403)]
frozenset(['paralog04', 'paralog09'])	[(5, 0.6145077720207254), (4, 0.3233160621761658), (6, 0.054922279792746116), (7, 0.004145077720207254), (3, 0.0031088082901554403)]
frozenset(['paralog13', 'paralog10'])	[(5, 0.6186528497409326), (4, 0.3170984455958549), (6, 0.05699481865284974), (7, 0.004145077720207254), (3, 0.0031088082901554403)]
frozenset(['paralog09', 'paralog13'])	[(5, 0.6186528497409326), (4, 0.3170984455958549), (6, 0.05699481865284974), (7, 0.004145077720207254), (3, 0.0031088082901554403)]
frozenset(['paralog15', 'paralog08'])	[(5, 0.854), (4, 0.11), (6, 0.019), (3, 0.016), (7, 0.001)]
frozenset(['paralog15', 'paralog09'])	[(6, 0.5128998968008256), (5, 0.19091847265221878), (4, 0.18782249742002063), (3, 0.09494324045407637), (7, 0.010319917440660475), (8, 0.0030959752321981426)]
frozenset(['paralog15', 'paralog10'])	[(6, 0.5128998968008256), (5, 0.19091847265221878), (4, 0.18782249742002063), (3, 0.09494324045407637), (7, 0.010319917440660475), (8, 0.0030959752321981426)]
frozenset(['paralog12', 'paralog13'])	[(5, 0.6827309236947792), (6, 0.2389558232931727), (7, 0.045180722891566265), (4, 0.024096385542168676), (8, 0.007028112449799197), (3, 0.002008032128514056)]
frozenset(['paralog14', 'paralog13'])	[(5, 0.6817269076305221), (6, 0.2399598393574297), (7, 0.045180722891566265), (4, 0.024096385542168676), (8, 0.007028112449799197), (3, 0.002008032128514056)]
frozenset(['paralog04', 'paralog12'])	[(5, 0.6887550200803213), (6, 0.2399598393574297), (7, 0.04618473895582329), (4, 0.01606425702811245), (8, 0.008032128514056224), (3, 0.001004016064257028)]
frozenset(['paralog04', 'paralog14'])	[(5, 0.6877510040160643), (6, 0.24096385542168675), (7, 0.04618473895582329), (4, 0.01606425702811245), (8, 0.008032128514056224), (3, 0.001004016064257028)]
frozenset(['paralog06', 'paralog08'])	[(6, 0.48283038501560877), (5, 0.4464099895941727), (4, 0.04890738813735692), (7, 0.02081165452653486), (8, 0.001040582726326743)]
frozenset(['paralog08', 'paralog11'])	[(6, 0.48440748440748443), (5, 0.446985446985447), (4, 0.04677754677754678), (7, 0.02079002079002079), (8, 0.0010395010395010396)]
frozenset(['paralog08', 'paralog03'])	[(6, 0.48232848232848236), (5, 0.44490644490644493), (4, 0.04677754677754678), (7, 0.02494802494802495), (8, 0.0010395010395010396)]
frozenset(['paralog08', 'paralog02'])	[(6, 0.4875259875259875), (5, 0.4417879417879418), (4, 0.04365904365904366), (7, 0.02598752598752599), (8, 0.0010395010395010396)]
frozenset(['paralog05', 'paralog15'])	[(5, 0.4591002044989775), (6, 0.4539877300613497), (7, 0.06032719836400818), (4, 0.024539877300613498), (3, 0.0010224948875255625), (8, 0.0010224948875255625)]
frozenset(['paralog12', 'paralog08'])	[(6, 0.857), (5, 0.107), (7, 0.019), (4, 0.016), (8, 0.001)]
frozenset(['paralog14', 'paralog08'])	[(6, 0.858), (5, 0.106), (7, 0.019), (4, 0.016), (8, 0.001)]
frozenset(['paralog12', 'paralog10'])	[(7, 0.5128998968008256), (5, 0.19091847265221878), (6, 0.19091847265221878), (4, 0.09184726522187822), (8, 0.010319917440660475), (9, 0.0030959752321981426)]
frozenset(['paralog12', 'paralog09'])	[(7, 0.5128998968008256), (5, 0.19091847265221878), (6, 0.19091847265221878), (4, 0.09184726522187822), (8, 0.010319917440660475), (9, 0.0030959752321981426)]
frozenset(['paralog14', 'paralog09'])	[(7, 0.5128998968008256), (5, 0.19195046439628483), (6, 0.19091847265221878), (4, 0.09081527347781218), (8, 0.010319917440660475), (9, 0.0030959752321981426)]
frozenset(['paralog14', 'paralog10'])	[(7, 0.5128998968008256), (5, 0.19195046439628483), (6, 0.19091847265221878), (4, 0.09081527347781218), (8, 0.010319917440660475), (9, 0.0030959752321981426)]
frozenset(['paralog04', 'paralog01'])	[(6, 0.6983122362869199), (7, 0.23523206751054854), (5, 0.056962025316455694), (8, 0.007383966244725738), (4, 0.002109704641350211)]
frozenset(['paralog01', 'paralog13'])	[(6, 0.7014767932489452), (7, 0.23945147679324894), (5, 0.04852320675105485), (8, 0.008438818565400843), (4, 0.002109704641350211)]
frozenset(['paralog01', 'paralog10'])	[(6, 0.6569264069264069), (7, 0.20454545454545456), (8, 0.06818181818181818), (5, 0.05952380952380952), (4, 0.006493506493506494), (3, 0.003246753246753247), (9, 0.0010822510822510823)]
frozenset(['paralog09', 'paralog01'])	[(6, 0.6569264069264069), (7, 0.20454545454545456), (8, 0.06818181818181818), (5, 0.05952380952380952), (4, 0.006493506493506494), (3, 0.003246753246753247), (9, 0.0010822510822510823)]
frozenset(['paralog07', 'paralog01'])	[(6, 0.5745798319327731), (7, 0.3634453781512605), (5, 0.045168067226890755), (4, 0.008403361344537815), (8, 0.0063025210084033615), (3, 0.0010504201680672268), (9, 0.0010504201680672268)]
frozenset(['paralog05', 'paralog12'])	[(7, 0.4570552147239264), (6, 0.4560327198364008), (8, 0.06032719836400818), (5, 0.024539877300613498), (4, 0.0010224948875255625), (9, 0.0010224948875255625)]
frozenset(['paralog05', 'paralog14'])	[(7, 0.45807770961145194), (6, 0.4550102249488753), (8, 0.06032719836400818), (5, 0.024539877300613498), (4, 0.0010224948875255625), (9, 0.0010224948875255625)]
frozenset(['paralog04', 'paralog06'])	[(7, 0.6551724137931034), (8, 0.2027168234064786), (6, 0.12748171368861025), (5, 0.006269592476489028), (9, 0.006269592476489028), (4, 0.0020898641588296763)]
frozenset(['paralog04', 'paralog11'])	[(7, 0.6565762004175365), (8, 0.20250521920668058), (6, 0.12734864300626306), (5, 0.006263048016701462), (9, 0.006263048016701462), (4, 0.0010438413361169101)]
frozenset(['paralog04', 'paralog03'])	[(7, 0.6534446764091858), (8, 0.20668058455114824), (6, 0.12734864300626306), (9, 0.006263048016701462), (5, 0.005219206680584551), (4, 0.0010438413361169101)]
frozenset(['paralog06', 'paralog13'])	[(7, 0.658307210031348), (8, 0.20794148380355276), (6, 0.11912225705329153), (9, 0.0073145245559038665), (5, 0.006269592476489028), (4, 0.0010449320794148381)]
frozenset(['paralog04', 'paralog02'])	[(7, 0.6576200417536534), (8, 0.20981210855949894), (6, 0.12004175365344467), (9, 0.006263048016701462), (5, 0.005219206680584551), (4, 0.0010438413361169101)]
frozenset(['paralog13', 'paralog11'])	[(7, 0.6597077244258872), (8, 0.20772442588726514), (6, 0.11899791231732777), (9, 0.007306889352818371), (5, 0.006263048016701462)]
frozenset(['paralog13', 'paralog03'])	[(7, 0.6565762004175365), (8, 0.21189979123173278), (6, 0.11899791231732777), (9, 0.007306889352818371), (5, 0.005219206680584551)]
frozenset(['paralog13', 'paralog02'])	[(7, 0.6607515657620042), (8, 0.2150313152400835), (6, 0.11169102296450939), (9, 0.007306889352818371), (5, 0.005219206680584551)]
frozenset(['paralog06', 'paralog09'])	[(7, 0.6105150214592274), (8, 0.1888412017167382), (6, 0.11909871244635194), (9, 0.060085836909871244), (5, 0.0203862660944206), (10, 0.001072961373390558)]
frozenset(['paralog06', 'paralog10'])	[(7, 0.6105150214592274), (8, 0.1888412017167382), (6, 0.11909871244635194), (9, 0.060085836909871244), (5, 0.0203862660944206), (10, 0.001072961373390558)]
frozenset(['paralog10', 'paralog11'])	[(7, 0.6152197213290461), (8, 0.18756698821007503), (6, 0.11682743837084673), (9, 0.06002143622722401), (5, 0.01929260450160772), (10, 0.0010718113612004287)]
frozenset(['paralog09', 'paralog11'])	[(7, 0.6152197213290461), (8, 0.18756698821007503), (6, 0.11682743837084673), (9, 0.06002143622722401), (5, 0.01929260450160772), (10, 0.0010718113612004287)]
frozenset(['paralog09', 'paralog03'])	[(7, 0.609860664523044), (8, 0.19185423365487675), (6, 0.11682743837084673), (9, 0.06109324758842444), (5, 0.01929260450160772), (10, 0.0010718113612004287)]
frozenset(['paralog10', 'paralog03'])	[(7, 0.609860664523044), (8, 0.19185423365487675), (6, 0.11682743837084673), (9, 0.06109324758842444), (5, 0.01929260450160772), (10, 0.0010718113612004287)]
frozenset(['paralog09', 'paralog02'])	[(7, 0.6109324758842444), (8, 0.19614147909967847), (6, 0.11146838156484459), (9, 0.06109324758842444), (5, 0.01929260450160772), (10, 0.0010718113612004287)]
frozenset(['paralog10', 'paralog02'])	[(7, 0.6109324758842444), (8, 0.19614147909967847), (6, 0.11146838156484459), (9, 0.06109324758842444), (5, 0.01929260450160772), (10, 0.0010718113612004287)]
frozenset(['paralog07', 'paralog06'])	[(7, 0.5535900104058272), (8, 0.31321540062434966), (6, 0.11238293444328824), (5, 0.012486992715920915), (9, 0.007284079084287201), (10, 0.001040582726326743)]
frozenset(['paralog07', 'paralog11'])	[(7, 0.5561330561330561), (8, 0.3128898128898129), (6, 0.11122661122661123), (5, 0.011434511434511435), (9, 0.007276507276507277), (10, 0.0010395010395010396)]
frozenset(['paralog07', 'paralog03'])	[(7, 0.5519750519750519), (8, 0.3180873180873181), (6, 0.1101871101871102), (5, 0.011434511434511435), (9, 0.007276507276507277), (10, 0.0010395010395010396)]
frozenset(['paralog07', 'paralog02'])	[(7, 0.5509355509355509), (8, 0.3232848232848233), (6, 0.10706860706860707), (5, 0.010395010395010396), (9, 0.007276507276507277), (10, 0.0010395010395010396)]
frozenset(['paralog15', 'paralog01'])	[(7, 0.5157563025210085), (8, 0.4369747899159664), (6, 0.04201680672268908), (9, 0.0031512605042016808), (5, 0.0021008403361344537)]
frozenset(['paralog15', 'paralog06'])	[(8, 0.514047866805411), (9, 0.3777315296566077), (7, 0.09885535900104059), (6, 0.005202913631633715), (10, 0.004162330905306972)]
frozenset(['paralog15', 'paralog11'])	[(8, 0.5176715176715176), (9, 0.37733887733887733), (7, 0.09563409563409564), (6, 0.005197505197505198), (10, 0.004158004158004158)]
frozenset(['paralog15', 'paralog03'])	[(8, 0.5145530145530145), (9, 0.3814968814968815), (7, 0.09563409563409564), (10, 0.004158004158004158), (6, 0.004158004158004158)]
frozenset(['paralog15', 'paralog02'])	[(8, 0.5145530145530145), (9, 0.3866943866943867), (7, 0.09043659043659044), (10, 0.004158004158004158), (6, 0.004158004158004158)]
frozenset(['paralog12', 'paralog01'])	[(8, 0.5126050420168067), (9, 0.44012605042016806), (7, 0.04201680672268908), (10, 0.0031512605042016808), (6, 0.0021008403361344537)]
frozenset(['paralog14', 'paralog01'])	[(8, 0.5115546218487395), (9, 0.4411764705882353), (7, 0.04201680672268908), (10, 0.0031512605042016808), (6, 0.0021008403361344537)]
frozenset(['paralog06', 'paralog12'])	[(9, 0.5109261186264308), (10, 0.3808532778355879), (8, 0.09885535900104059), (7, 0.005202913631633715), (11, 0.004162330905306972)]
frozenset(['paralog14', 'paralog06'])	[(9, 0.5098855359001041), (10, 0.38189386056191466), (8, 0.09885535900104059), (7, 0.005202913631633715), (11, 0.004162330905306972)]
frozenset(['paralog12', 'paralog11'])	[(9, 0.5145530145530145), (10, 0.3804573804573805), (8, 0.09563409563409564), (7, 0.005197505197505198), (11, 0.004158004158004158)]
frozenset(['paralog14', 'paralog11'])	[(9, 0.5135135135135135), (10, 0.3814968814968815), (8, 0.09563409563409564), (7, 0.005197505197505198), (11, 0.004158004158004158)]
frozenset(['paralog12', 'paralog03'])	[(9, 0.5114345114345115), (10, 0.38461538461538464), (8, 0.09563409563409564), (11, 0.004158004158004158), (7, 0.004158004158004158)]
frozenset(['paralog14', 'paralog03'])	[(9, 0.5103950103950103), (10, 0.38565488565488565), (8, 0.09563409563409564), (11, 0.004158004158004158), (7, 0.004158004158004158)]
frozenset(['paralog12', 'paralog02'])	[(9, 0.5114345114345115), (10, 0.3898128898128898), (8, 0.09043659043659044), (11, 0.004158004158004158), (7, 0.004158004158004158)]
frozenset(['paralog14', 'paralog02'])	[(9, 0.5103950103950103), (10, 0.3908523908523909), (8, 0.09043659043659044), (11, 0.004158004158004158), (7, 0.004158004158004158)]
