frozenset(['paralog09', 'paralog10'])	[(1, 1.0)]
frozenset(['paralog14', 'paralog12'])	[(1, 0.999), (2, 0.001)]
frozenset(['paralog06', 'paralog11'])	[(1, 0.993993993993994), (2, 0.006006006006006006)]
frozenset(['paralog04', 'paralog13'])	[(1, 0.9859437751004017), (2, 0.007028112449799197), (3, 0.0050200803212851405), (4, 0.001004016064257028), (5, 0.001004016064257028)]
frozenset(['paralog03', 'paralog02'])	[(1, 0.952), (2, 0.048)]
frozenset(['paralog15', 'paralog12'])	[(2, 0.997), (3, 0.003)]
frozenset(['paralog14', 'paralog15'])	[(2, 0.996), (3, 0.004)]
frozenset(['paralog07', 'paralog15'])	[(2, 0.863), (3, 0.102), (4, 0.02), (5, 0.013), (6, 0.002)]
frozenset(['paralog05', 'paralog08'])	[(3, 0.5316973415132924), (2, 0.3537832310838446), (4, 0.10224948875255624), (1, 0.0081799591002045), (5, 0.00408997955010225)]
frozenset(['paralog08', 'paralog10'])	[(2, 0.5046439628482973), (3, 0.23529411764705882), (4, 0.18163054695562436), (5, 0.07739938080495357), (6, 0.0010319917440660474)]
frozenset(['paralog09', 'paralog08'])	[(2, 0.5046439628482973), (3, 0.23529411764705882), (4, 0.18163054695562436), (5, 0.07739938080495357), (6, 0.0010319917440660474)]
frozenset(['paralog05', 'paralog01'])	[(3, 0.8539915966386554), (2, 0.11239495798319328), (5, 0.01995798319327731), (4, 0.01365546218487395)]
frozenset(['paralog03', 'paralog11'])	[(3, 0.992), (2, 0.006), (4, 0.002)]
frozenset(['paralog06', 'paralog03'])	[(3, 0.996996996996997), (4, 0.002002002002002002), (2, 0.001001001001001001)]
frozenset(['paralog11', 'paralog02'])	[(3, 0.946), (4, 0.049), (2, 0.005)]
frozenset(['paralog06', 'paralog02'])	[(3, 0.94994994994995), (4, 0.04904904904904905), (2, 0.001001001001001001)]
frozenset(['paralog07', 'paralog14'])	[(3, 0.86), (4, 0.101), (5, 0.02), (6, 0.013), (2, 0.003), (7, 0.002), (1, 0.001)]
frozenset(['paralog07', 'paralog12'])	[(3, 0.86), (4, 0.101), (5, 0.02), (6, 0.013), (2, 0.004), (7, 0.002)]
frozenset(['paralog07', 'paralog13'])	[(3, 0.7379518072289156), (4, 0.16967871485943775), (2, 0.04819277108433735), (5, 0.03413654618473896), (6, 0.008032128514056224), (1, 0.002008032128514056)]
frozenset(['paralog04', 'paralog07'])	[(3, 0.7449799196787149), (4, 0.1716867469879518), (2, 0.0391566265060241), (5, 0.035140562248995984), (6, 0.009036144578313253)]
frozenset(['paralog04', 'paralog08'])	[(4, 0.6566265060240963), (3, 0.28714859437751006), (5, 0.03614457831325301), (2, 0.018072289156626505), (1, 0.001004016064257028), (6, 0.001004016064257028)]
frozenset(['paralog13', 'paralog08'])	[(4, 0.6656626506024096), (3, 0.2791164658634538), (5, 0.0391566265060241), (2, 0.015060240963855422), (6, 0.001004016064257028)]
frozenset(['paralog07', 'paralog08'])	[(4, 0.798), (3, 0.17), (5, 0.021), (2, 0.008), (6, 0.002), (1, 0.001)]
frozenset(['paralog05', 'paralog06'])	[(4, 0.9486373165618449), (3, 0.019916142557651992), (6, 0.019916142557651992), (5, 0.011530398322851153)]
frozenset(['paralog05', 'paralog11'])	[(4, 0.9528301886792453), (6, 0.019916142557651992), (3, 0.015723270440251572), (5, 0.011530398322851153)]
frozenset(['paralog05', 'paralog03'])	[(4, 0.9454926624737946), (6, 0.019916142557651992), (5, 0.01781970649895178), (3, 0.016771488469601678)]
frozenset(['paralog05', 'paralog02'])	[(4, 0.9454926624737946), (6, 0.019916142557651992), (5, 0.018867924528301886), (3, 0.015723270440251572)]
frozenset(['paralog06', 'paralog01'])	[(4, 0.865546218487395), (5, 0.12605042016806722), (3, 0.005252100840336135), (7, 0.0021008403361344537), (6, 0.0010504201680672268)]
