frozenset(['paralog03', 'paralog10'])	[(1, 0.9955257270693513), (2, 0.0044742729306487695)]
frozenset(['paralog09', 'paralog02'])	[(1, 0.9909456740442656), (2, 0.009054325955734407)]
frozenset(['paralog05', 'paralog08'])	[(1, 0.7454728370221329), (2, 0.2545271629778672)]
frozenset(['paralog05', 'paralog13'])	[(2, 0.8242971887550201), (1, 0.1706827309236948), (3, 0.0050200803212851405)]
frozenset(['paralog08', 'paralog13'])	[(2, 0.9094567404426559), (1, 0.08551307847082495), (3, 0.005030181086519115)]
frozenset(['paralog07', 'paralog15'])	[(2, 0.9969635627530364), (1, 0.0020242914979757085), (8, 0.0010121457489878543)]
frozenset(['paralog06', 'paralog15'])	[(2, 0.9909365558912386), (3, 0.00906344410876133)]
frozenset(['paralog07', 'paralog01'])	[(2, 0.9939577039274925), (3, 0.004028197381671702), (9, 0.0010070493454179255), (4, 0.0010070493454179255)]
frozenset(['paralog04', 'paralog06'])	[(2, 0.9421906693711968), (3, 0.055780933062880324), (4, 0.002028397565922921)]
frozenset(['paralog14', 'paralog11'])	[(2, 0.5606995884773662), (3, 0.33539094650205764), (4, 0.0823045267489712), (5, 0.01440329218106996), (6, 0.0051440329218107), (1, 0.00205761316872428)]
frozenset(['paralog12', 'paralog11'])	[(3, 0.6811279826464208), (2, 0.23644251626898047), (4, 0.027114967462039046), (5, 0.027114967462039046), (1, 0.015184381778741865), (6, 0.013015184381778741)]
frozenset(['paralog14', 'paralog09'])	[(3, 0.8374233128834356), (2, 0.11247443762781185), (4, 0.046012269938650305), (5, 0.003067484662576687), (1, 0.0010224948875255625)]
frozenset(['paralog14', 'paralog02'])	[(3, 0.8323108384458078), (2, 0.1114519427402863), (4, 0.05214723926380368), (5, 0.003067484662576687), (1, 0.0010224948875255625)]
frozenset(['paralog03', 'paralog11'])	[(3, 0.6375143843498274), (2, 0.20253164556962025), (4, 0.15765247410817032), (5, 0.0023014959723820483)]
frozenset(['paralog10', 'paralog11'])	[(3, 0.6379310344827587), (2, 0.20114942528735633), (4, 0.15862068965517243), (5, 0.0022988505747126436)]
frozenset(['paralog15', 'paralog01'])	[(3, 0.9949392712550608), (2, 0.004048582995951417), (4, 0.0010121457489878543)]
frozenset(['paralog07', 'paralog06'])	[(3, 0.9919191919191919), (4, 0.00404040404040404), (2, 0.0030303030303030303), (7, 0.00101010101010101)]
frozenset(['paralog04', 'paralog14'])	[(3, 0.922920892494929), (4, 0.056795131845841784), (2, 0.019269776876267748), (5, 0.0010141987829614604)]
frozenset(['paralog12', 'paralog13'])	[(2, 0.4319912948857454), (3, 0.2840043525571273), (4, 0.1588683351468988), (5, 0.07399347116430903), (7, 0.025027203482045703), (6, 0.01632208922742111), (1, 0.003264417845484222), (8, 0.003264417845484222), (9, 0.003264417845484222)]
frozenset(['paralog04', 'paralog15'])	[(3, 0.9408766564729868), (4, 0.05708460754332314), (5, 0.0020387359836901123)]
frozenset(['paralog04', 'paralog09'])	[(3, 0.897979797979798), (4, 0.09898989898989899), (2, 0.00202020202020202), (5, 0.00101010101010101)]
frozenset(['paralog04', 'paralog02'])	[(3, 0.8919191919191919), (4, 0.10404040404040404), (2, 0.00202020202020202), (5, 0.00202020202020202)]
frozenset(['paralog12', 'paralog10'])	[(3, 0.4731182795698925), (4, 0.3345280764635603), (2, 0.0991636798088411), (5, 0.04420549581839905), (7, 0.027479091995221028), (6, 0.013142174432497013), (8, 0.0047789725209080045), (1, 0.0035842293906810036)]
frozenset(['paralog12', 'paralog03'])	[(3, 0.47368421052631576), (4, 0.3349282296650718), (2, 0.10047846889952153), (5, 0.04425837320574163), (7, 0.02751196172248804), (6, 0.013157894736842105), (8, 0.004784688995215311), (1, 0.0011961722488038277)]
frozenset(['paralog14', 'paralog12'])	[(4, 0.5212649945474372), (3, 0.24536532170119957), (2, 0.14394765539803708), (5, 0.061068702290076333), (1, 0.017448200654307525), (6, 0.010905125408942203)]
frozenset(['paralog12', 'paralog08'])	[(3, 0.5109170305676856), (4, 0.17685589519650655), (5, 0.14956331877729256), (2, 0.09934497816593886), (6, 0.03056768558951965), (8, 0.026200873362445413), (7, 0.0054585152838427945), (9, 0.001091703056768559)]
frozenset(['paralog05', 'paralog12'])	[(3, 0.5408942202835333), (4, 0.1723009814612868), (5, 0.15485278080697928), (2, 0.05779716466739367), (6, 0.04034896401308615), (8, 0.022900763358778626), (7, 0.006543075245365322), (9, 0.004362050163576881)]
frozenset(['paralog13', 'paralog11'])	[(4, 0.5503711558854719), (3, 0.2608695652173913), (5, 0.15800636267232238), (2, 0.02014846235418876), (7, 0.006362672322375398), (6, 0.003181336161187699), (8, 0.0010604453870625664)]
frozenset(['paralog06', 'paralog01'])	[(4, 0.9929292929292929), (5, 0.00404040404040404), (3, 0.00202020202020202), (2, 0.00101010101010101)]
frozenset(['paralog04', 'paralog07'])	[(4, 0.9406952965235174), (5, 0.05214723926380368), (3, 0.00408997955010225), (6, 0.003067484662576687)]
frozenset(['paralog14', 'paralog06'])	[(4, 0.9104938271604939), (5, 0.08847736625514403), (6, 0.00102880658436214)]
frozenset(['paralog06', 'paralog09'])	[(4, 0.8483606557377049), (5, 0.14856557377049182), (6, 0.0030737704918032786)]
frozenset(['paralog06', 'paralog02'])	[(4, 0.8432377049180327), (5, 0.15163934426229508), (6, 0.005122950819672131)]
frozenset(['paralog13', 'paralog03'])	[(4, 0.45260663507109006), (5, 0.26066350710900477), (3, 0.20616113744075829), (6, 0.07109004739336493), (7, 0.004739336492890996), (8, 0.004739336492890996)]
frozenset(['paralog13', 'paralog10'])	[(4, 0.45271867612293143), (5, 0.26004728132387706), (3, 0.20567375886524822), (6, 0.07210401891252956), (7, 0.004728132387706856), (8, 0.004728132387706856)]
frozenset(['paralog04', 'paralog11'])	[(4, 0.6), (5, 0.3216494845360825), (3, 0.04536082474226804), (6, 0.032989690721649485)]
frozenset(['paralog14', 'paralog03'])	[(4, 0.5906432748538012), (5, 0.3064327485380117), (6, 0.050292397660818715), (3, 0.04327485380116959), (7, 0.00935672514619883)]
frozenset(['paralog14', 'paralog10'])	[(4, 0.5892648774795799), (5, 0.3080513418903151), (6, 0.050175029171528586), (3, 0.043173862310385065), (7, 0.009334889148191364)]
frozenset(['paralog08', 'paralog11'])	[(5, 0.5117021276595745), (4, 0.3797872340425532), (3, 0.08936170212765958), (8, 0.007446808510638298), (6, 0.005319148936170213), (2, 0.00425531914893617), (7, 0.002127659574468085)]
frozenset(['paralog09', 'paralog11'])	[(4, 0.5906735751295337), (5, 0.35647668393782384), (6, 0.04766839378238342), (7, 0.0051813471502590676)]
frozenset(['paralog02', 'paralog11'])	[(4, 0.5823834196891192), (5, 0.3626943005181347), (6, 0.04870466321243523), (7, 0.0051813471502590676), (3, 0.0010362694300518134)]
frozenset(['paralog05', 'paralog11'])	[(5, 0.5557917109458024), (4, 0.3793836344314559), (3, 0.04994686503719448), (8, 0.006376195536663124), (6, 0.004250797024442083), (7, 0.003188097768331562), (2, 0.0010626992561105207)]
frozenset(['paralog08', 'paralog03'])	[(5, 0.4827586206896552), (4, 0.31272294887039237), (6, 0.14982164090368608), (3, 0.041617122473246136), (7, 0.0047562425683709865), (9, 0.0047562425683709865), (8, 0.0035671819262782403)]
frozenset(['paralog08', 'paralog10'])	[(5, 0.4851720047449585), (4, 0.3107947805456702), (6, 0.1494661921708185), (3, 0.04151838671411625), (7, 0.004744958481613286), (9, 0.004744958481613286), (8, 0.0035587188612099642)]
frozenset(['paralog05', 'paralog03'])	[(5, 0.4833729216152019), (4, 0.29691211401425177), (6, 0.18527315914489312), (3, 0.022565320665083134), (9, 0.004750593824228029), (7, 0.0035629453681710215), (8, 0.0035629453681710215)]
frozenset(['paralog05', 'paralog10'])	[(5, 0.4822274881516588), (4, 0.29739336492890994), (6, 0.18601895734597157), (3, 0.022511848341232227), (9, 0.004739336492890996), (7, 0.0035545023696682463), (8, 0.0035545023696682463)]
frozenset(['paralog14', 'paralog13'])	[(5, 0.5075268817204301), (4, 0.24301075268817204), (6, 0.2032258064516129), (7, 0.02903225806451613), (3, 0.017204301075268817)]
frozenset(['paralog04', 'paralog01'])	[(5, 0.9427402862985685), (6, 0.05214723926380368), (4, 0.003067484662576687), (7, 0.002044989775051125)]
frozenset(['paralog04', 'paralog12'])	[(6, 0.46354733405875953), (5, 0.2535364526659412), (4, 0.1708378672470076), (3, 0.07290533188248095), (2, 0.028291621327529923), (7, 0.008705114254624592), (1, 0.002176278563656148)]
frozenset(['paralog14', 'paralog15'])	[(5, 0.9102167182662538), (6, 0.08771929824561403), (7, 0.0020639834881320948)]
frozenset(['paralog15', 'paralog09'])	[(5, 0.8486096807415036), (6, 0.14727085478887744), (7, 0.004119464469618949)]
frozenset(['paralog15', 'paralog02'])	[(5, 0.84346035015448), (6, 0.15036045314109167), (7, 0.006179196704428424)]
frozenset(['paralog09', 'paralog12'])	[(6, 0.5065645514223195), (5, 0.2527352297592998), (4, 0.19037199124726478), (3, 0.03172866520787746), (7, 0.0175054704595186), (2, 0.0010940919037199124)]
frozenset(['paralog12', 'paralog02'])	[(6, 0.5032822757111597), (5, 0.2527352297592998), (4, 0.18927789934354486), (3, 0.03172866520787746), (7, 0.02188183807439825), (2, 0.0010940919037199124)]
frozenset(['paralog06', 'paralog11'])	[(5, 0.5742677824267782), (6, 0.3389121338912134), (4, 0.04288702928870293), (7, 0.036610878661087864), (3, 0.007322175732217573)]
frozenset(['paralog14', 'paralog08'])	[(6, 0.49838187702265374), (5, 0.3559870550161812), (4, 0.06472491909385113), (7, 0.06472491909385113), (3, 0.010787486515641856), (8, 0.005393743257820928)]
frozenset(['paralog05', 'paralog14'])	[(6, 0.5517241379310345), (5, 0.3275862068965517), (7, 0.06465517241379311), (4, 0.04741379310344827), (8, 0.005387931034482759), (3, 0.003232758620689655)]
frozenset(['paralog06', 'paralog12'])	[(7, 0.46354733405875953), (6, 0.24374319912948858), (5, 0.1719260065288357), (4, 0.06746463547334058), (2, 0.026115342763873776), (3, 0.014145810663764961), (8, 0.009793253536452665), (1, 0.003264417845484222)]
frozenset(['paralog14', 'paralog07'])	[(6, 0.9107883817427386), (7, 0.08402489626556017), (5, 0.0031120331950207467), (8, 0.001037344398340249), (4, 0.001037344398340249)]
frozenset(['paralog07', 'paralog09'])	[(6, 0.8502066115702479), (7, 0.14359504132231404), (8, 0.0030991735537190084), (5, 0.0030991735537190084)]
frozenset(['paralog07', 'paralog02'])	[(6, 0.8502066115702479), (7, 0.14359504132231404), (8, 0.0030991735537190084), (5, 0.0030991735537190084)]
frozenset(['paralog04', 'paralog03'])	[(6, 0.6244131455399061), (7, 0.27699530516431925), (5, 0.09507042253521127), (4, 0.0035211267605633804)]
